1:[152.5233  147.79443 358.425  ],[175.67223 122.36307 310.274  ],[188.37814 142.36876 299.89   ],[183.88742 152.01767 317.596  ],[175.10881 148.6382  335.562  ],[162.72867 125.502   294.279  ],[174.58754 112.63836 263.596  ],[185.79962  105.560234 242.524   ],[199.31703  101.874146 223.296   ],[148.53455 131.47726 286.136  ],[149.55266  120.797676 257.001   ],[152.7565 116.7722 236.887 ],[157.58624 114.81866 217.77   ],[132.3553  145.65245 281.947  ],[128.78886 148.55865 258.887  ],[126.666504 151.0362   244.614   ],[124.41161 154.3559  229.259  ],[170.17145 159.17354 346.71   ],[187.7399  164.69519 334.79   ],[192.56622 168.68413 313.147  ],[179.31061 167.32234 301.378  ]
2:[176.40904 141.13892 376.349  ],[185.97432 125.2943  313.026  ],[192.79272 120.63924 283.222  ],[198.52838 117.5528  260.586  ],[204.20375  115.448654 239.902   ],[169.19022 118.5503  312.189  ],[162.39142 105.24909 280.539  ],[156.36185  96.22064 258.831  ],[149.39116  88.27636 238.677  ],[154.8876  115.18125 317.967  ],[144.37259 124.19126 290.733  ],[143.65974 139.5986  298.839  ],[148.87523 141.57841 317.381  ],[138.92184 117.81232 329.676  ],[136.4699  132.92447 318.396  ],[144.32683 138.80684 324.511  ],[151.88524 135.53343 335.826  ],[167.60101 151.72583 351.283  ],[162.23454 158.96802 326.029  ],[149.49684 152.80205 315.609  ],[143.89409 140.3432  329.287  ]
3:[163.24483 149.09859 344.104  ],[172.07861 121.70311 288.388  ],[180.61264 105.08154 265.104  ],[188.71251  91.01487 247.51   ],[197.40941  76.66616 231.541  ],[161.34535 133.95921 274.449  ],[161.37524 128.37123 238.95   ],[162.83125 124.60209 215.143  ],[165.28958 120.944   193.467  ],[151.01642 148.01497 268.756  ],[173.25887 163.2812  253.103  ],[178.86064 167.20006 271.144  ],[169.87505 161.06128 288.104  ],[143.2407  169.30354 268.571  ],[137.33687 176.42429 246.062  ],[133.38126 181.62411 232.087  ],[130.0513  188.48074 216.915  ],[183.55077 151.89908 329.485  ],[201.58806 149.70877 314.054  ],[197.96684 156.48569 294.333  ],[180.74219 161.84824 295.799  ]
4:[134.26741 165.95688 403.826  ],[146.93074 145.68741 352.519  ],[145.12984 134.16246 327.756  ],[142.88405 127.27418 306.982  ],[140.15254 122.23914 287.233  ],[132.12556 139.62512 347.735  ],[122.238594 149.49886  314.044   ],[123.05592 167.51332 316.986  ],[126.91889 178.44388 329.925  ],[118.64727 137.11107 349.065  ],[109.80639 141.66951 318.031  ],[109.2695  157.26398 319.723  ],[113.913506 161.7217   337.174   ],[102.56539 140.5588  353.278  ],[103.1598  144.93489 331.366  ],[101.542885 155.26366  331.076   ],[100.06887 160.04839 342.905  ],[130.4668  170.84863 373.902  ],[129.93822 172.31007 346.976  ],[117.680336 163.44508  342.883   ],[105.232925 154.17162  342.341   ]
5:[161.7765 135.8923 403.962 ],[169.785   108.07698 352.056  ],[176.1129   94.64642 327.526  ],[181.4683   84.11267 308.23   ],[186.84152   74.596695 289.844   ],[154.0678   104.855606 348.883   ],[146.78339  86.6474  321.951  ],[140.90059  77.58544 300.031  ],[134.7954   70.30879 279.248  ],[140.51823  105.532036 351.59    ],[136.25668 117.16395 324.999  ],[139.14938 131.12843 332.712  ],[143.0613 133.9033 351.457 ],[125.83991 112.85368 357.283  ],[127.26414 113.32538 334.805  ],[127.99698 123.53062 332.972  ],[127.834816 131.63345  342.918   ],[169.2196 148.1358 379.357 ],[178.2633  155.42886 356.494  ],[185.2217  161.46126 336.854  ],[189.91724 166.67964 315.43   ]
6:[158.91014 155.10674 342.294  ],[159.16687 119.02408 295.844  ],[159.20541   99.350365 274.59    ],[159.50612  82.57039 258.524  ],[160.34058  65.67265 243.767  ],[148.584   129.56276 279.974  ],[140.67241 114.64297 248.385  ],[134.56398  102.553604 227.163   ],[129.15811  89.93387 207.448  ],[139.33095 143.38193 271.76   ],[146.59918 142.47397 241.661  ],[152.48314 141.77756 221.954  ],[159.11952 140.99939 203.285  ],[133.7794  165.55771 266.985  ],[153.20584 169.80974 259.706  ],[165.7463  169.79686 264.055  ],[171.88463 166.57474 277.541  ],[171.63828 157.83122 316.056  ],[182.69398 154.8194  292.818  ],[170.77249 161.9647  278.046  ],[155.4792  170.43076 266.806  ]
7:[127.67297 144.64421 398.656  ],[130.47073  108.610794 362.117   ],[136.4013   95.76141 338.947  ],[142.72905  86.15968 321.356  ],[149.91324   77.410614 305.414   ],[119.959076 113.40047  343.939   ],[140.08504 122.52465 328.007  ],[140.12808 136.43886 341.815  ],[129.99585 137.42773 356.524  ],[110.398674 122.004906 332.828   ],[126.062805 127.65982  313.47    ],[134.66418 138.22063 324.651  ],[132.5142  142.20187 342.507  ],[102.78666 138.42395 323.651  ],[105.70307 133.38362 303.627  ],[108.11806 130.11061 291.346  ],[111.66708 126.61943 278.351  ],[138.65529 132.76878 398.436  ],[147.32452 118.73133 397.287  ],[153.76617  107.094604 394.203   ],[161.70638   96.619995 397.586   ]
8:[134.69917 165.61497 383.058  ],[135.6908  131.90855 342.491  ],[131.66255  115.119385 322.778   ],[128.56306 101.88685 306.73   ],[126.089714  90.56638  289.871   ],[119.1016  133.03069 335.169  ],[115.642845 138.98767  299.325   ],[123.742714 156.59955  294.346   ],[132.20546 168.67273 305.127  ],[105.27699 137.91042 333.331  ],[ 99.58817 140.50575 301.443  ],[106.26718 155.7301  298.039  ],[113.58962 163.95915 311.847  ],[ 91.631256 150.32156  332.32    ],[ 96.166756 159.32399  314.344   ],[102.964836 166.48479  320.61    ],[105.58937 166.96904 335.593  ],[133.09619 169.80626 351.997  ],[132.77913 168.6393  325.746  ],[117.64621 165.5083  315.854  ],[101.408806 162.17775  306.448   ]
9:[139.78508 146.81406 371.609  ],[153.60931 104.59575 358.427  ],[154.62038  84.13198 347.563  ],[154.55453  70.48356 331.187  ],[154.05548  59.04686 313.57   ],[139.00624  98.54949 358.682  ],[134.61755  100.146866 322.879   ],[130.12733 117.40303 326.507  ],[130.1118  124.99489 345.602  ],[125.74454   98.105156 360.235   ],[121.12997   91.710976 328.934   ],[118.901245 105.885826 322.232   ],[120.11169 117.96547 333.857  ],[109.53312 103.46527 358.09   ],[109.640144  88.968376 346.921   ],[109.55399  82.41584 335.017  ],[109.36521   77.388214 320.529   ],[153.87872 139.49298 363.65   ],[168.46002 129.2642  358.536  ],[179.79195  119.879555 354.262   ],[194.01878  114.713326 350.823   ]
10:[158.64981 179.08826 337.048  ],[188.37956 149.86191 300.746  ],[198.43253 136.13591 277.883  ],[206.93506 124.49513 260.436  ],[215.23758  113.053535 244.042   ],[175.5174  135.95784 303.005  ],[189.87286 115.35368 282.25   ],[199.58588 100.82097 266.016  ],[208.42676  86.99135 249.448  ],[162.12392 128.31946 308.553  ],[167.30331 105.94047 294.106  ],[170.92542  90.07768 284.509  ],[173.01175  75.06029 272.202  ],[143.31029 126.34987 314.2    ],[140.71686 110.46818 303.356  ],[138.49202 101.0342  294.66   ],[135.58098   91.095695 284.023   ],[158.77675 173.87772 311.156  ],[164.1397  166.11304 288.841  ],[154.66734 150.31792 292.612  ],[145.22897 145.89218 310.364  ]
