1:[152.5233  147.79443 358.425  ],[208.68835  86.09162 241.5987 ],[230.05742  119.737595 224.13472 ],[224.72983 131.18463 245.14032],[216.28513 127.93371 262.42294],[177.1322   94.03918 203.7454 ],[191.74278  78.19069 165.94281],[202.77997  71.22298 145.19951],[213.8639   68.20048 129.43303],[143.59935  111.288376 196.69434 ],[145.02635  96.3197  155.8583 ],[148.80836  91.56779 132.11449],[153.56352   89.64441  113.292694],[108.77029 143.14755 192.51152],[103.76383 147.22719 160.14061],[101.227036 150.18852  143.0805  ],[ 99.45105 152.80318 130.98666],[203.21558 180.4796  324.77502],[230.05115 188.91385 306.5674 ],[237.23103 194.84799 274.37015],[215.9684  192.66362 255.4921 ]
2:[176.40904 141.13892 376.349  ],[198.21022 105.02586 232.02322],[207.80438  98.47574 190.08604],[213.7723   95.26433 166.53346],[218.90959   93.359665 147.81046 ],[158.96165  86.54382 221.27881],[150.50807  70.00519 181.92542],[144.4197    60.888687 160.00569 ],[138.44415   54.078552 142.72894 ],[125.575775  79.82736  238.45174 ],[110.59892  92.66059 199.66151],[109.59626 114.33203 211.06313],[114.850845 116.32669  229.74417 ],[ 84.934456  84.21839  262.45963 ],[ 80.67836 110.45006 242.8798 ],[ 92.568405 119.35196  252.13374 ],[ 99.31919 116.42832 262.23972],[153.73544 168.39172 311.82416],[147.02931 177.44182 280.26587],[122.735596 165.6819   260.39258 ],[114.47042 147.30261 280.5703 ]
3:[163.24483 149.09859 344.104  ],[183.96623  84.83702 213.41098],[196.40585  60.60859 179.47105],[204.69867  46.20684 161.45795],[212.02328   34.122208 148.0087  ],[158.76355  113.381516 179.77274 ],[158.79974  106.614815 136.78564 ],[160.27751 102.78936 112.62296],[162.44562   99.563126  93.50591 ],[136.30792 146.71158 178.12643],[167.34091 168.01126 156.28711],[174.45699 172.98947 179.20505],[165.75806 167.04654 195.62398],[120.30692 192.46758 181.97598],[112.29891 202.1262  151.44458],[107.81168 208.02487 135.59142],[105.36017  213.07272  124.421776],[219.86223 156.90697 303.343  ],[245.21646 153.82816 281.6523 ],[239.48178 164.5603  250.42152],[212.34273 173.00949 252.73135]
4:[134.26741 165.95688 403.826  ],[165.81186 115.46547 276.0199 ],[162.94885  97.14351 236.65254],[160.44716  89.4703  213.5113 ],[157.85576  84.69353 194.7753 ],[128.7774   98.46297 260.0528 ],[116.98132  110.243256 219.85631 ],[118.077644 134.40683  223.80252 ],[122.41542 146.6809  238.33188],[ 96.17799  95.61693 270.29236],[ 84.37271 101.70384 228.85248],[ 83.534355 126.05482  231.49454 ],[ 88.405014 130.73009  249.79726 ],[ 57.33162 104.31977 281.15402],[ 58.209396 110.782074 248.79584 ],[ 55.50386 128.06493 248.31058],[ 54.06942 132.72119 259.82202],[124.86729 178.05574 329.81448],[124.21059 179.87141 296.36194],[ 97.99395 160.91135 287.60797],[ 75.139175 143.88428  286.61282 ]
5:[161.7765 135.8923 403.962 ],[181.15701  68.57942 278.34985],[190.76073   48.196163 241.12122 ],[196.56142   36.786564 220.22083 ],[201.46225  28.10717 203.45119],[142.33694   57.624992 265.0656  ],[132.82216   33.841713 229.88744 ],[126.92244   24.753685 207.90439 ],[121.71029   18.541437 190.16144 ],[110.09372   62.080883 276.636   ],[103.77201  79.336   237.19012],[108.1447  100.44513 248.84935],[112.08884 103.24286 267.74875],[ 73.272964  79.1535   289.00238 ],[ 75.35979  79.84465 256.0668 ],[ 76.5936    97.026215 252.98074 ],[ 76.4356  104.92076 262.67108],[180.98886 167.49559 340.45084],[192.80527 177.02463 310.57825],[203.55714 186.34569 280.2312 ],[209.49667 192.94658 253.13133]
6:[158.91014 155.10674 342.294  ],[159.53522  67.25336 229.1984 ],[159.59312  37.69276 197.26335],[159.91034   19.991793 180.31554 ],[160.63545    5.308221 167.4922  ],[133.89604   93.228874 191.3297  ],[124.284485  75.10326  152.95314 ],[118.33811   63.334625 132.29416 ],[113.94842   53.087097 116.28511 ],[115.07959 128.85924 184.39456],[125.28984  127.583755 142.11214 ],[132.29744  126.75436  118.641754],[138.82655 125.98877 100.27452],[104.74126 177.63364 179.96664],[135.022   184.26144 168.62059],[151.55603 184.24446 174.35454],[156.61615 181.5883  185.47171],[191.20345 162.0192  275.724  ],[205.50154 158.12407 245.67082],[185.80107 169.93182 221.25983],[164.81535 181.54909 205.8361 ]
7:[127.67297 144.64421 398.656  ],[135.06482   49.441807 302.1178  ],[144.5704   28.8467  264.98068],[151.94958  17.64951 244.46669],[159.11746    8.920313 228.56091 ],[108.1814    65.697105 260.39633 ],[140.33049   80.272026 234.94664 ],[140.38431   97.668175 252.21002 ],[129.33456  98.7466  268.25095],[ 88.28311  93.02075 248.55118],[114.97693 102.6575  215.5625 ],[126.93962 117.34534 231.1129 ],[124.66267  121.561714 250.02344 ],[ 73.73851 131.16345 236.1026 ],[ 78.354866 123.18517  204.40686 ],[ 81.621635 118.75775  187.79427 ],[ 84.80956 115.62179 176.12146],[169.22081  99.7176  397.8237 ],[186.7852    71.276886 395.49573 ],[202.59857   42.710316 387.92496 ],[219.28214   20.701574 395.03314 ]
8:[134.69917 165.61497 383.058  ],[137.27718  77.98571 277.5927 ],[130.58783  50.10541 244.85709],[126.97565   34.684025 226.15451 ],[124.61703  23.88869 210.07755],[ 93.90036  80.38373 257.79398],[ 89.77671   87.485855 215.05951 ],[ 99.69524 109.05212 208.96257],[108.73401 121.94708 220.4774 ],[ 63.114594  98.2094   262.07147 ],[ 55.496346 101.684975 219.36829 ],[ 65.142296 123.672264 214.45218 ],[ 73.229515 132.76079  229.70232 ],[ 33.275253 129.59935  263.57123 ],[ 40.53946 144.01793 234.78026],[ 50.71264 154.7339  244.15718],[ 52.868313 155.13165  256.46353 ],[130.79657 175.81902 307.43735],[130.39229 174.33102 273.9646 ],[102.74837 168.61151 255.89449],[ 78.45179 163.6279  241.81996]
9:[139.78508 146.81406 371.609  ],[178.78603  27.70771 334.41992],[180.68323  -10.691513 314.03415 ],[180.60753  -26.382427 295.2075  ],[180.14413  -37.001812 278.84946 ],[137.49567     4.9396286 333.6099   ],[132.2063     6.864831 290.45905 ],[126.15846  30.10701 295.34555],[126.143715  37.314404 313.47354 ],[100.92827   12.013512 340.1317  ],[ 94.7072      3.3932905 297.93375  ],[ 91.25819   25.329304 287.5622  ],[ 92.66305   39.349194 301.0544  ],[ 58.231895  29.954475 335.1645  ],[ 58.424934    3.8066216 315.0191   ],[ 58.313984  -4.632099 299.68848 ],[ 58.16012   -8.729824 287.88016 ],[189.59775 120.9384  343.4786 ],[215.96414 102.44238 334.23132],[240.75389  81.91249 324.88147],[266.89264   72.420654 318.56305 ]
10:[158.64981 179.08826 337.048  ],[233.76578 105.2442  245.32642],[249.11621  84.2852  210.41562],[258.3237    71.679276 191.52208 ],[265.80582  61.36827 176.74805],[203.96022   63.229546 245.60028 ],[223.13521   35.708023 217.87727 ],[233.11398   20.777678 201.19908 ],[240.50912    9.209596 187.34042 ],[167.59366   48.387505 263.6896  ],[175.89957   12.499603 240.52174 ],[180.59883   -8.080553 228.07076 ],[182.68307  -23.082851 215.77612 ],[119.45086   44.319443 278.66174 ],[115.03927   17.303658 260.21536 ],[112.04932    4.625387 248.52887 ],[109.59821    -3.7428474 239.57251  ],[158.99313 164.99554 267.0191 ],[166.41019 154.25684 236.15701],[149.5222   126.096176 242.88022 ],[136.44765 119.9654  267.4713 ]
11:[153.65222 167.66975 345.596  ],[178.82867  96.45915 224.11768],[173.84552  86.70702 182.00185],[170.11739  80.47652 158.59384],[165.53448  75.61063 140.26651],[150.68825   54.963837 237.65964 ],[144.32019   28.842886 203.44235 ],[138.45074   14.258927 184.64047 ],[132.38715     2.5820532 170.2372   ],[125.79917   39.947304 271.96515 ],[118.53691   15.236071 236.8896  ],[100.028015  27.945595 227.06404 ],[ 96.46025   43.836548 237.80273 ],[ 90.69234   35.803955 312.675   ],[ 79.70953    8.942389 296.94547 ],[ 72.32442   -3.299861 286.8539  ],[ 65.85202   -9.923233 278.45804 ],[121.70515 163.0727  280.36868],[111.50386 157.49884 248.9415 ],[ 95.95914 127.8258  247.80124],[ 91.97815 109.86737 269.5934 ]
